date_;val_;n_day_;time_
1981-01-01;2.95995793989025;1;1
1981-01-01;2.02875318276905;1;2
1981-01-01;2.37182861960318;1;3
1981-01-01;0.117332891836063;1;4
1981-01-01;0.248028296344302;1;5
1981-01-01;0.509419105360779;1;6
1981-01-01;1.58765619255375;1;7
1981-03-05;-0.0460363637992355;10;1
1981-03-05;0.248028296344302;10;2
1981-03-05;1.73468852262552;10;3
1981-03-05;1.63666696924434;10;4
1981-03-05;-0.160394842743944;10;5
1981-03-05;-0.062373289362765;10;6
1981-03-05;0.100995966272533;10;7
1982-11-25;-0.389111800633362;100;1
1982-11-25;0.199017519653712;100;2
1982-11-25;-0.454459502887481;100;3
1982-11-25;0.117332891836063;100;4
1982-11-25;0.999526872266674;100;5
1982-11-25;2.37182861960318;100;6
1982-11-25;-0.225742544998063;100;7
1982-12-02;0.0193113384548842;101;1
1982-12-02;0.39506062641607;101;2
1982-12-02;-0.144057917180414;101;3
1982-12-02;-0.127720991616885;101;4
1982-12-02;1.30992845797374;101;5
1982-12-02;-0.340101023942773;101;6
1982-12-02;-0.307427172815713;101;7
1982-12-09;-0.650502609649839;102;1
1982-12-09;-0.242079470561593;102;2
1982-12-09;0.100995966272533;102;3
1982-12-09;2.12677473615023;102;4
1982-12-09;2.48618709854789;102;5
1982-12-09;0.656451435432548;102;6
1982-12-09;0.983189946703144;102;7
1982-12-16;1.30992845797374;103;1
1982-12-16;0.493082179797249;103;2
1982-12-16;-0.160394842743944;103;3
1982-12-16;-0.144057917180414;103;4
1982-12-16;-0.323764098379243;103;5
1982-12-16;-0.0950471404898251;103;6
1982-12-16;2.04509010833258;103;7
1982-12-23;2.06142703389611;104;1
1982-12-23;-0.307427172815713;104;2
1982-12-23;-0.0460363637992355;104;3
1982-12-23;1.30992845797374;104;4
1982-12-23;1.30992845797374;104;5
1982-12-23;0.623777584305488;104;6
1982-12-23;1.86538392713376;104;7
1982-12-30;0.329712924161951;105;1
1982-12-30;2.58420865192907;105;2
1982-12-30;0.493082179797249;105;3
1982-12-30;-0.176731768307474;105;4
1982-12-30;0.885168393321965;105;5
1982-12-30;1.30992845797374;105;6
1982-12-30;-0.127720991616885;105;7
1983-01-06;0.248028296344302;106;1
1983-01-06;1.44062386248198;106;2
1983-01-06;2.82926253538202;106;3
1983-01-06;0.754472988813727;106;4
1983-01-06;0.215354445217242;106;5
1983-01-06;-0.340101023942773;106;6
1983-01-06;-0.405448726196892;106;7
1983-01-13;-0.209405619434534;107;1
1983-01-13;-0.307427172815713;107;2
1983-01-13;-0.0460363637992355;107;3
1983-01-13;0.346049849725481;107;4
1983-01-13;-0.062373289362765;107;5
1983-01-13;-0.323764098379243;107;6
1983-01-13;-0.0133625126721759;107;7
1983-01-20;1.39161308579139;108;1
1983-01-20;0.493082179797249;108;2
1983-01-20;2.78025175869143;108;3
1983-01-20;-0.160394842743944;108;4
1983-01-20;-0.0950471404898251;108;5
1983-01-20;2.45351324742083;108;6
1983-01-20;1.26091768128315;108;7
