date_;time_;val_;n_day_;time
2011-01-02;0;0.148146573810748;1;2011-01-02 00:00:00
2011-01-02;1;-0.103780702972822;1;2011-01-02 01:00:00
2011-01-02;2;-0.328731311085268;1;2011-01-02 02:00:00
2011-01-02;3;-0.461874224204046;1;2011-01-02 03:00:00
2011-01-02;4;-0.518003099342354;1;2011-01-02 04:00:00
2011-01-02;5;-0.55542234943456;1;2011-01-02 05:00:00
2011-01-02;6;-0.52975100344107;1;2011-01-02 06:00:00
2011-01-02;7;-0.474927450980396;1;2011-01-02 07:00:00
2011-01-02;8;-0.34221964542083;1;2011-01-02 08:00:00
2011-01-02;9;-0.31654829942734;1;2011-01-02 09:00:00
2011-01-02;10;-0.26259496208509;1;2011-01-02 10:00:00
2011-01-02;11;-0.214298023012592;1;2011-01-02 11:00:00
2011-01-02;12;-0.156428717637437;1;2011-01-02 12:00:00
2011-01-02;13;-0.135108447236064;1;2011-01-02 13:00:00
2011-01-02;14;-0.129016941407101;1;2011-01-02 14:00:00
2011-01-02;15;-0.165565976380883;1;2011-01-02 15:00:00
2011-01-02;16;-0.202115011354665;1;2011-01-02 16:00:00
2011-01-02;17;-0.158169147874284;1;2011-01-02 17:00:00
2011-01-02;18;0.213847815251713;1;2011-01-02 18:00:00
2011-01-02;19;0.610665909252777;1;2011-01-02 19:00:00
2011-01-02;20;0.660703278562122;1;2011-01-02 20:00:00
2011-01-02;21;0.614146769726471;1;2011-01-02 21:00:00
2011-01-02;22;0.5445295602526;1;2011-01-02 22:00:00
2011-01-02;23;0.363959923179747;1;2011-01-02 23:00:00
2011-01-11;0;0.276503303778197;10;2011-01-11 00:00:00
2011-01-11;1;-0.0759338191832741;10;2011-01-11 01:00:00
2011-01-11;2;-0.300449319736508;10;2011-01-11 02:00:00
2011-01-11;3;-0.426630511907899;10;2011-01-11 03:00:00
2011-01-11;4;-0.486240247519901;10;2011-01-11 04:00:00
2011-01-11;5;-0.477973203894878;10;2011-01-11 05:00:00
2011-01-11;6;-0.351356904164276;10;2011-01-11 06:00:00
2011-01-11;7;-0.0341634934989516;10;2011-01-11 07:00:00
2011-01-11;8;0.478393211252423;10;2011-01-11 08:00:00
2011-01-11;9;0.767304630568987;10;2011-01-11 09:00:00
2011-01-11;10;0.801243020187499;10;2011-01-11 10:00:00
2011-01-11;11;0.84518888366788;10;2011-01-11 11:00:00
2011-01-11;12;0.883478348878509;10;2011-01-11 12:00:00
2011-01-11;13;0.840402700516551;10;2011-01-11 13:00:00
2011-01-11;14;0.817777107437543;10;2011-01-11 14:00:00
2011-01-11;15;0.808204741134886;10;2011-01-11 15:00:00
2011-01-11;16;0.778182319549279;10;2011-01-11 16:00:00
2011-01-11;17;0.79123554632563;10;2011-01-11 17:00:00
2011-01-11;18;0.98398819505641;10;2011-01-11 18:00:00
2011-01-11;19;1.28986880918223;10;2011-01-11 19:00:00
2011-01-11;20;1.23591547183998;10;2011-01-11 20:00:00
2011-01-11;21;1.13366519542523;10;2011-01-11 21:00:00
2011-01-11;22;1.00139249742488;10;2011-01-11 22:00:00
2011-01-11;23;0.741198177016285;10;2011-01-11 23:00:00
2011-04-11;0;-0.470141267829068;100;2011-04-11 00:00:00
2011-04-11;1;-0.796471937237837;100;2011-04-11 01:00:00
2011-04-11;2;-1.04187260063323;100;2011-04-11 02:00:00
2011-04-11;3;-1.24245718542982;100;2011-04-11 03:00:00
2011-04-11;4;-1.3642873020091;100;2011-04-11 04:00:00
2011-04-11;5;-1.4500034911738;100;2011-04-11 05:00:00
2011-04-11;6;-1.37864585146308;100;2011-04-11 06:00:00
2011-04-11;7;-1.1188866386137;100;2011-04-11 07:00:00
2011-04-11;8;-0.71989300681658;100;2011-04-11 08:00:00
2011-04-11;9;-0.430111372381592;100;2011-04-11 09:00:00
2011-04-11;10;-0.230397002703425;100;2011-04-11 10:00:00
2011-04-11;11;-0.147291458893992;100;2011-04-11 11:00:00
2011-04-11;12;-0.102040272735976;100;2011-04-11 12:00:00
2011-04-11;13;-0.0607050546108648;100;2011-04-11 13:00:00
2011-04-11;14;-0.0515677958674193;100;2011-04-11 14:00:00
2011-04-11;15;-0.0276368801107762;100;2011-04-11 15:00:00
2011-04-11;16;-0.0489571505121491;100;2011-04-11 16:00:00
2011-04-11;17;-0.0855061854859313;100;2011-04-11 17:00:00
2011-04-11;18;-0.135543554795276;100;2011-04-11 18:00:00
2011-04-11;19;-0.195153290407278;100;2011-04-11 19:00:00
2011-04-11;20;-0.209946947420476;100;2011-04-11 20:00:00
2011-04-11;21;-0.0459113975976673;100;2011-04-11 21:00:00
2011-04-11;22;-0.0132783306567903;100;2011-04-11 22:00:00
2011-04-11;23;-0.230832110262637;100;2011-04-11 23:00:00
2013-09-27;0;-0.425760296789475;1000;2013-09-27 00:00:00
2013-09-27;1;-0.779502742428582;1000;2013-09-27 01:00:00
2013-09-27;2;-1.05753647276485;1000;2013-09-27 02:00:00
2013-09-27;3;-1.22157202258766;1000;2013-09-27 03:00:00
2013-09-27;4;-1.33165423506822;1000;2013-09-27 04:00:00
2013-09-27;5;-1.37603520610781;1000;2013-09-27 05:00:00
2013-09-27;6;-1.31512014781818;1000;2013-09-27 06:00:00
2013-09-27;7;-1.04491835354771;1000;2013-09-27 07:00:00
2013-09-27;8;-0.611551224572868;1000;2013-09-27 08:00:00
2013-09-27;9;-0.37311228212486;1000;2013-09-27 09:00:00
2013-09-27;10;-0.147726566453203;1000;2013-09-27 10:00:00
2013-09-27;11;0.0628654922052559;1000;2013-09-27 11:00:00
2013-09-27;12;0.248221312429437;1000;2013-09-27 12:00:00
2013-09-27;13;0.393547237206143;1000;2013-09-27 13:00:00
2013-09-27;14;0.510156063074876;1000;2013-09-27 14:00:00
2013-09-27;15;0.639818115719961;1000;2013-09-27 15:00:00
2013-09-27;16;0.695076775739846;1000;2013-09-27 16:00:00
2013-09-27;17;0.723358767088606;1000;2013-09-27 17:00:00
2013-09-27;18;0.688985269910882;1000;2013-09-27 18:00:00
2013-09-27;19;0.534957193949943;1000;2013-09-27 19:00:00
2013-09-27;20;0.378753580192945;1000;2013-09-27 20:00:00
2013-09-27;21;0.451416542581298;1000;2013-09-27 21:00:00
2013-09-27;22;0.268671367712387;1000;2013-09-27 22:00:00
2013-09-27;23;0.014568553132758;1000;2013-09-27 23:00:00
2013-09-28;0;-0.325685558170786;1001;2013-09-28 00:00:00
2013-09-28;1;-0.711190855632346;1001;2013-09-28 01:00:00
2013-09-28;2;-0.984438402817289;1001;2013-09-28 02:00:00
2013-09-28;3;-1.18763363296915;1001;2013-09-28 03:00:00
